ID;Name;Position;Number;Club;CountryOfClub;DateOfBirth;Age;HeightCM;Country;Caps;Goals;PlaysInHomeCountry
200199;JOAO MOUTINHO;Midfielder;8;AS Monaco;France;08/set/86;27;170;Portugal;66;2;No
275793;Oscar BAGUI;Defender;18;CS Emelec;Ecuador;10/dez/82;31;170;Ecuador;21;0;Yes
200205;VIEIRINHA;Forward;10;VfL Wolfsburg;Germany;24/jan/86;28;170;Portugal;7;0;No
355023;Allan NYOM;Defender;22;Granada CF;Spain;10/mai/88;26;170;Cameroon;9;0;No
270400;Luis GARRIDO;Midfielder;19;CD Olimpia;Honduras;05/nov/90;23;170;Honduras;19;0;Yes
315436;Ramon AZEEZ;Midfielder;15;UD Almeria;Spain;12/dez/92;21;170;Nigeria;1;0;No
336043;Raheem STERLING;Midfielder;19;Liverpool FC;England;08/dez/94;19;170;England;3;0;Yes
235097;Mubarak WAKASO;Midfielder;22;FC Rubin Kazan;Russia;25/jul/90;23;171;Ghana;16;7;No
319311;Marco FABIAN;Midfielder;8;Cruz Azul FC;Mexico;21/jul/89;24;171;Mexico;14;5;Yes
267811;Juan MATA;Forward;13;Manchester United FC;England;28/abr/88;26;171;Spain;33;9;No
215002;Wesley SNEIJDER;Midfielder;10;Galatasaray SK;Turkey;09/jun/84;30;171;Netherlands;98;26;No
215513;Dimitrios SALPINGIDIS;Forward;14;PAOK FC;Greece;18/ago/81;32;171;Greece;75;13;Yes
369990;Rony MARTINEZ;Forward;16;CD Real Sociedad;Honduras;16/out/87;26;171;Honduras;9;1;Yes
318150;Charles ARANGUIZ;Midfielder;20;SC Internacional;Brazil;17/abr/89;25;171;Chile;20;2;No
267527;Gary MEDEL;Defender;17;Cardiff City FC;England;03/ago/87;26;171;Chile;60;5;No
182372;Javier MASCHERANO;Midfielder;14;FC Barcelona;Spain;08/jun/84;30;171;Argentina;96;2;No
229443;Juan ZUNIGA;Defender;18;SSC Napoli;Italy;14/dez/85;28;171;Columbia;49;1;No
212246;Patrice EVRA;Defender;3;Manchester United FC;England;15/mai/81;33;171;France;57;0;No
366309;Yacine BRAHIMI;Midfielder;11;Granada CF;Spain;08/fev/90;24;171;Algeria;5;0;No
